#MLRT	#	0.8712	#MLRT
lmaoo	!	0.9983	lmaoo
			
OPENFOLLOW	G	0.3606	OPENFOLLOW
FOR	P	0.9900	FOR
RP	!	0.4815	RP
HELP	V	0.6447	HELP
RETWEET	V	0.5015	RETWEET
GUYS*19	N	0.9065	GUYS*19
			
FYCK	!	0.5900	FYCK
UT	^	0.7663	UT
IM	L	0.9779	IM
WATCHING	V	0.9781	WATCHING
IT	O	0.9675	IT
ON	P	0.8009	ON
MY	D	0.6909	MY
TELLY	^	0.5365	TELLY
			
RT	~	0.7475	RT
@WorldStarGhetto	@	0.9990	@WorldStarGhetto
:	,	0.7421	:
Lil	A	0.4985	Lil
homies	N	0.8175	homies
a	D	0.8948	a
real	A	0.7729	real
G	!	0.3368	G
http://t.co/AymAQUZjpR	U	0.9900	http://t.co/AymAQUZjpR
			
RT	~	0.7475	RT
@TlPPANEH	@	0.9990	@TlPPANEH
:	,	0.7421	:
#openfollow	#	0.8397	#openfollow
for	P	0.9910	for
all	D	0.7257	all
rp	!	0.5479	rp
.	,	0.9927	.
Newbie	N	0.6913	Newbie
masih	!	0.4088	masih
imut	!	0.4400	imut
.	,	0.9927	.
Just	R	0.9985	Just
retweet	V	0.5104	retweet
yes^^	!	0.9978	yes^^
http://t.co/QrAP7oqFSH	U	0.9940	http://t.co/QrAP7oqFSH
			
Webpage	N	0.6735	Webpage
Marketing	N	0.9317	Marketing
using	V	0.9456	using
SEO	N	0.3619	SEO
,	,	0.9918	,
Backlinking	N	0.6177	Backlinking
and	&	0.9981	and
PPC	N	0.9178	PPC
Management	N	0.9408	Management
,	,	0.9918	,
Visit	V	0.7444	Visit
Us	O	0.8917	Us
Today	N	0.9950	Today
!	,	0.9924	!
http://t.co/QNbOOVnsZr	U	0.9900	http://t.co/QNbOOVnsZr
#marketing	#	0.8286	#marketing
			
That	O	0.7728	That
conyo	!	0.5380	conyo
convo	N	0.8730	convo
during	P	0.7576	during
pe	G	0.2754	pe
class	N	0.9759	class
			
WHY	R	0.8850	WHY
IS	V	0.9860	IS
MY	D	0.6909	MY
WHOLE	A	0.7173	WHOLE
TL	N	0.8242	TL
TALKING	V	0.8007	TALKING
ABOUT	P	0.8956	ABOUT
HOW	R	0.9600	HOW
ATTRACTIVE	A	0.9483	ATTRACTIVE
ZAYN	^	0.9464	ZAYN
MALIK	^	0.7319	MALIK
IS	V	0.9860	IS
IM	L	0.9779	IM
HAVING	V	0.9733	HAVING
CHEST	N	0.9175	CHEST
PAINS	N	0.5548	PAINS
			
@raila_khan	@	0.9990	@raila_khan
@jaspreetreen1	@	0.9989	@jaspreetreen1
lololol	!	0.9972	lololol
...	~	0.6291	...
what	O	0.9490	what
did	V	0.9560	did
i	O	0.9651	i
miss	V	0.6716	miss
on	P	0.8343	on
IF	P	0.5602	IF
todays	S	0.4645	todays
?	,	0.9909	?
			
Idk	L	0.6590	Idk
why	R	0.8527	why
twitter	^	0.9766	twitter
notifies	V	0.9341	notifies
me	O	0.9918	me
when	R	0.9425	when
people	N	0.9913	people
retweet	V	0.5104	retweet
other	A	0.9271	other
peoples	N	0.8042	peoples
stuff	N	0.9403	stuff
...	~	0.6291	...
Like	P	0.7411	Like
I	O	0.9937	I
don't	V	0.9973	don't
give	V	0.9362	give
a	D	0.8948	a
fuck	!	0.5770	fuck
			
@Smalley_67	@	0.9990	@Smalley_67
hahah	!	0.9986	hahah
idk	L	0.6434	idk
what	O	0.9490	what
that	O	0.7135	that
was	V	0.9773	was
			
LMAO	!	0.9991	LMAO
MT	!	0.3437	MT
@redsteeze	@	0.9990	@redsteeze
:	,	0.7421	:
Fucking	!	0.4112	Fucking
Jews	N	0.6622	Jews
.	,	0.9927	.
Always	R	0.9825	Always
throwg	!	0.2142	throwg
their	D	0.7901	their
holocaust	N	0.7029	holocaust
privilg	!	0.3240	privilg
in	P	0.8576	in
ppls	N	0.3846	ppls
faces	V	0.8199	faces
.	,	0.9927	.
Sum1	O	0.2982	Sum1
shld	V	0.6333	shld
just	R	0.9975	just
put	V	0.7836	put
them	O	0.9105	them
all	D	0.7257	all
in	P	0.8576	in
camps	N	0.9443	camps
n	&	0.7343	n
..	,	0.9687	..
o	!	0.7684	o
w8	!	0.3994	w8
@Owillis	@	0.9986	@Owillis
			
nigga	N	0.5857	nigga
still	R	0.9849	still
anit	!	0.2834	anit
gone	V	0.7256	gone
take	V	0.9216	take
mine	O	0.9042	mine
glock	N	0.4377	glock
26	$	0.9523	26
with	P	0.9671	with
8	$	0.9739	8
shots	N	0.9783	shots
			
RT	~	0.7475	RT
@_chloe_murray	@	0.9990	@_chloe_murray
:	,	0.7421	:
Idk	L	0.6590	Idk
how	R	0.9435	how
I	O	0.9937	I
would	V	0.9736	would
feel	V	0.9161	feel
if	P	0.9711	if
tanner	^	0.8235	tanner
took	V	0.9612	took
more	A	0.4885	more
selfies	N	0.8773	selfies
than	P	0.9031	than
I	O	0.9937	I
did	V	0.9560	did
.....	,	0.9659	.....
			
RT	~	0.7475	RT
@EXOINDONESIA	@	0.9987	@EXOINDONESIA
:	,	0.7421	:
[	,	0.9656	[
PREVIEW	N	0.9031	PREVIEW
]	,	0.9650	]
140526	$	0.4723	140526
Luhan	^	0.9752	Luhan
@	P	0.5208	@
MBC	^	0.6690	MBC
Idol	N	0.8102	Idol
Futsal	G	0.3273	Futsal
Championship	N	0.6651	Championship
(	,	0.9082	(
cr	N	0.4422	cr
:	,	0.7421	:
fruitxfruit	!	0.4558	fruitxfruit
)	,	0.9412	)
http://t.co/crR58THxYS	U	0.9940	http://t.co/crR58THxYS
			
RT	~	0.7475	RT
@TrizzyTwoTimes	@	0.9990	@TrizzyTwoTimes
:	,	0.7421	:
Unfollow	V	0.4226	Unfollow
me	O	0.9918	me
please	V	0.8246	please
"	,	0.9803	"
@angtinb	@	0.9990	@angtinb
:	,	0.7421	:
Y'all	O	0.9107	Y'all
think	V	0.9624	think
SpongeBob	^	0.8504	SpongeBob
ever	R	0.9297	ever
beats	V	0.7172	beats
Gary	^	0.9625	Gary
?	,	0.9909	?
"	,	0.9803	"
			
#3	#	0.5496	#3
:	,	0.7421	:
Just	R	0.9985	Just
Herbs	N	0.8898	Herbs
Ayurvedic	^	0.6286	Ayurvedic
Pimple	N	0.4699	Pimple
Treatment	N	0.9763	Treatment
Kit	N	0.7629	Kit
Just	R	0.9985	Just
Herbs	N	0.8898	Herbs
Ayurvedic	^	0.6286	Ayurvedic
Pimple	N	0.4699	Pimple
Treatment	N	0.9763	Treatment
Kit	N	0.7629	Kit
...	~	0.6291	...
http://t.co/xICVTOPYeD	U	0.9900	http://t.co/xICVTOPYeD
http://t.co/zhj6gcrdta	U	0.9940	http://t.co/zhj6gcrdta
			
RT	~	0.7475	RT
@Ale_Quinonez_	@	0.9990	@Ale_Quinonez_
:	,	0.7421	:
@JaidySoto	@	0.9990	@JaidySoto
JAJAJAJAJAJA	!	0.9959	JAJAJAJAJAJA
DIJE	!	0.5834	DIJE
SI	^	0.6447	SI
AL	^	0.4096	AL
AMOR	G	0.3185	AMOR
EN	^	0.2476	EN
TWITTER	^	0.9700	TWITTER
:D	E	0.9898	:D
			
@minyoonghei	@	0.9989	@minyoonghei
nope	!	0.9960	nope
i	O	0.9651	i
searched	V	0.9837	searched
bangtan	!	0.2645	bangtan
during	P	0.7576	during
pre-deb	^	0.2326	pre-deb
because	P	0.9780	because
of	P	0.8953	of
baromxkookie	!	0.2512	baromxkookie
resemblance	N	0.9629	resemblance
l	G	0.3624	l
o	!	0.7684	o
l	G	0.3624	l
			
The	D	0.9468	The
dumbs	N	0.3490	dumbs
will	V	0.9478	will
be	V	0.9569	be
on	P	0.8343	on
ASC	^	0.6931	ASC
show	N	0.8348	show
again	R	0.9571	again
*	,	0.9379	*
claps	V	0.4870	claps
*	,	0.9379	*
			
xo	E	0.8066	xo
fam	N	0.5520	fam
as	P	0.7377	as
in	P	0.8576	in
the	D	0.9792	the
people	N	0.9913	people
in	P	0.8576	in
the	D	0.9792	the
fanbase	N	0.7447	fanbase
I	O	0.9937	I
fuck	!	0.5770	fuck
with	P	0.9671	with
			
RT	~	0.7475	RT
@1DAlert	@	0.9981	@1DAlert
:	,	0.7421	:
Idk	L	0.6590	Idk
...	~	0.6291	...
and	&	0.9981	and
idc	!	0.5353	idc
either	D	0.4129	either
lmao	!	0.9991	lmao
but	&	0.9901	but
I	O	0.9937	I
guess	V	0.9298	guess
we'll	L	0.9364	we'll
just	R	0.9975	just
wait	V	0.9113	wait
and	&	0.9981	and
see	V	0.8335	see
when	R	0.9425	when
they	O	0.9737	they
come	V	0.9593	come
on	P	0.8343	on
stage	N	0.8796	stage
:)	E	0.9959	:)
			
Hell	!	0.4831	Hell
Rell	!	0.6862	Rell
aka	G	0.5813	aka
Ruga	^	0.8448	Ruga
Rell	!	0.6862	Rell
was	V	0.9773	was
harder	A	0.8231	harder
pause	V	0.4822	pause
lol	!	0.9995	lol
RT	~	0.7475	RT
@clt45billyd	@	0.9989	@clt45billyd
:	,	0.7421	:
Gunplay	^	0.6843	Gunplay
really	R	0.9938	really
my	D	0.8420	my
favorite	A	0.8214	favorite
rapper	N	0.9043	rapper
			
@Curly_Loubear	@	0.9990	@Curly_Loubear
im	L	0.9789	im
200%	$	0.9354	200%
sure	A	0.8345	sure
that	O	0.7135	that
im	L	0.9789	im
as	P	0.7377	as
healthy	A	0.7722	healthy
as	P	0.7377	as
a	D	0.8948	a
bear	N	0.5856	bear
so	R	0.5317	so
ur	L	0.5261	ur
loss	N	0.9768	loss
			
RT	~	0.7475	RT
@zourrybabes	@	0.9989	@zourrybabes
:	,	0.7421	:
niall	^	0.9486	niall
loves	V	0.9579	loves
5sos	^	0.2734	5sos
so	R	0.5317	so
much	A	0.5576	much
thats	L	0.9523	thats
adorable	A	0.9816	adorable
			
RT	~	0.7475	RT
@RSherman_25	@	0.9989	@RSherman_25
:	,	0.7421	:
@RealPeterson21	@	0.9989	@RealPeterson21
wideouts	!	0.2305	wideouts
regularly	R	0.9399	regularly
have	V	0.9703	have
career	N	0.9705	career
days	N	0.9144	days
on	P	0.8343	on
u	O	0.9843	u
.	,	0.9927	.
They	O	0.9740	They
ask	V	0.8878	ask
u	O	0.9843	u
to	P	0.9511	to
stop	V	0.7591	stop
them	O	0.9105	them
.	,	0.9927	.
Not	R	0.9761	Not
let	V	0.8916	let
them	O	0.9105	them
score	N	0.9594	score
at	P	0.9712	at
will	V	0.9478	will
.	,	0.9927	.
			
my	D	0.8420	my
bday	N	0.6500	bday
ish	!	0.5839	ish
already	R	0.9742	already
next	A	0.4810	next
week	N	0.8660	week
o.o	E	0.8413	o.o
!	,	0.9924	!
			
I	O	0.9937	I
played	V	0.9779	played
Riding	V	0.7654	Riding
,	,	0.9918	,
Slipin	V	0.1979	Slipin
and	&	0.9981	and
Slindin	N	0.1981	Slindin
(	,	0.9082	(
Dogg	^	0.4648	Dogg
Pound	N	0.7060	Pound
)	,	0.9412	)
,	,	0.9918	,
...	~	0.6291	...
and	&	0.9981	and
the	D	0.9792	the
fells	N	0.4876	fells
went	V	0.9059	went
buck	N	0.8992	buck
			
RT	~	0.7475	RT
@PaulSmithJnr	@	0.9990	@PaulSmithJnr
:	,	0.7421	:
#RIP	#	0.9143	#RIP
to	P	0.9511	to
the	D	0.9792	the
39	$	0.9371	39
people	N	0.9913	people
who	O	0.9764	who
lost	V	0.4600	lost
their	D	0.7901	their
lives	V	0.5430	lives
at	P	0.9712	at
Heysel	!	0.4557	Heysel
.	,	0.9927	.
God	^	0.9509	God
bless	!	0.6622	bless
them	O	0.9105	them
x	E	0.5815	x
			
I	O	0.9937	I
m	!	0.3407	m
really	R	0.9938	really
feeling	V	0.9609	feeling
so	R	0.5317	so
sad	A	0.9768	sad
for	P	0.9910	for
Rahul	^	0.9908	Rahul
Dravid	^	0.8209	Dravid
.	,	0.9927	.
His	D	0.9067	His
hard	A	0.7109	hard
work	N	0.8618	work
went	V	0.9059	went
in	P	0.8576	in
vain	!	0.3194	vain
.	,	0.9927	.
:'(	E	0.9810	:'(
#RRvsMI	#	0.9347	#RRvsMI
			
Delhi	^	0.9808	Delhi
Daredevils	^	0.7918	Daredevils
last	A	0.8954	last
won	V	0.5339	won
at	P	0.9712	at
Sharjah	^	0.9564	Sharjah
on	P	0.8343	on
27-4-2014	$	0.9537	27-4-2014
,	,	0.9918	,
since	P	0.8454	since
then	R	0.9661	then
have	V	0.9703	have
lost	V	0.4600	lost
8	$	0.9739	8
consecutive	A	0.4159	consecutive
games	N	0.9700	games
(	,	0.9082	(
all	D	0.7257	all
in	P	0.8576	in
India	^	0.9099	India
&	&	0.9901	&
5	$	0.9629	5
at	P	0.9712	at
Feroz	^	0.4925	Feroz
Shah	^	0.6849	Shah
Kotla	^	0.7584	Kotla
)	,	0.9412	)
			
RT	~	0.7475	RT
@5HonTour	@	0.9981	@5HonTour
:	,	0.7421	:
Camila	^	0.9263	Camila
with	P	0.9671	with
Funaki	^	0.3148	Funaki
and	&	0.9981	and
Dinah's	Z	0.5755	Dinah's
aunt	N	0.9243	aunt
(	,	0.9082	(
via	P	0.7478	via
rinatauveli	!	0.3475	rinatauveli
on	P	0.8343	on
IG	!	0.8585	IG
)	,	0.9412	)
http://t.co/yurAI4iIz1	U	0.9940	http://t.co/yurAI4iIz1
			
RT	~	0.7475	RT
@WW1DUpdates	@	0.9989	@WW1DUpdates
:	,	0.7421	:
#NEW	#	0.6696	#NEW
Niall	^	0.9790	Niall
on	P	0.8343	on
stage	N	0.8796	stage
at	P	0.9712	at
Croke	^	0.9352	Croke
Park	^	0.8408	Park
-	,	0.8444	-
23.05.2014	$	0.9464	23.05.2014
#104	#	0.6238	#104
http://t.co/u2k8Vkj5mb	U	0.9940	http://t.co/u2k8Vkj5mb
			
Ashley	^	0.9974	Ashley
Greene	^	0.8212	Greene
and	&	0.9981	and
Miley	^	0.8611	Miley
Cyrus	^	0.9885	Cyrus
on	P	0.8343	on
LOL	!	0.9992	LOL
http://t.co/2W0VbYbvn2	U	0.9940	http://t.co/2W0VbYbvn2
			
As	P	0.7624	As
We	O	0.9920	We
Collide	N	0.8977	Collide
-	,	0.8444	-
Christian	^	0.9779	Christian
Burns	N	0.3470	Burns
&	&	0.9901	&
Paul	^	0.9788	Paul
Oakenfold	^	0.8396	Oakenfold
Ft	V	0.6398	Ft
JES	^	0.2494	JES
http://t.co/i8riTY1huy	U	0.9940	http://t.co/i8riTY1huy
#nowplaying	#	0.9526	#nowplaying
#listenlive	#	0.9056	#listenlive
			
How	R	0.9684	How
to	P	0.9511	to
add	V	0.8749	add
Wi-Fi	N	0.6683	Wi-Fi
to	P	0.9511	to
your	D	0.5467	your
dSLR	N	0.8057	dSLR
or	&	0.9822	or
mirrorless	N	0.4747	mirrorless
interchangeable	A	0.9529	interchangeable
lens	N	0.8673	lens
camera	N	0.8886	camera
http://t.co/I83lOtTe34	U	0.9940	http://t.co/I83lOtTe34
cc	N	0.8046	cc
:	,	0.7421	:
@joanfotografia	@	0.9990	@joanfotografia
			
southbound	N	0.5747	southbound
between	P	0.9126	between
A47	^	0.3139	A47
near	P	0.8636	near
Hinckley	^	0.9169	Hinckley
(	,	0.9082	(
west	!	0.3538	west
)	,	0.9412	)
and	&	0.9981	and
A47	^	0.3139	A47
near	P	0.8636	near
Hinckley	^	0.9169	Hinckley
(	,	0.9082	(
east	A	0.3448	east
)	,	0.9412	)
So	P	0.5666	So
-	,	0.8444	-
So	P	0.5666	So
.	,	0.9927	.
On	P	0.7816	On
the	D	0.9792	the
A5	$	0.3530	A5
from	P	0.9750	from
Cannock	^	0.5956	Cannock
towards	P	0.9647	towards
Har-	!	0.9732	Har-
http://t.co/XCwo5xDivj	U	0.9940	http://t.co/XCwo5xDivj
			
Lol	!	0.9992	Lol
....	,	0.9646	....
"	,	0.9803	"
Apple	^	0.9202	Apple
Forgets	V	0.9763	Forgets
to	P	0.9511	to
Renew	V	0.9685	Renew
SSL	N	0.5146	SSL
Certificate	N	0.9356	Certificate
,	,	0.9918	,
Breaking	V	0.6953	Breaking
OS	N	0.4171	OS
X	E	0.6683	X
Software	N	0.8540	Software
Update	N	0.9302	Update
"	,	0.9803	"
http://t.co/ossv6er3B7	U	0.9940	http://t.co/ossv6er3B7
			
@inukaisuke	@	0.9980	@inukaisuke
I	O	0.9937	I
was	V	0.9773	was
real	A	0.7729	real
angry	A	0.8022	angry
.	,	0.9927	.
No	!	0.8845	No
one	$	0.7703	one
is	V	0.9892	is
taking	V	0.9846	taking
my	D	0.8420	my
bae	N	0.9032	bae
and	&	0.9981	and
my	D	0.8420	my
theoretical	A	0.7447	theoretical
baby	N	0.9007	baby
from	P	0.9750	from
me	O	0.9918	me
hehe	!	0.9982	hehe
			
RT	~	0.7475	RT
@KeetPotato	@	0.9990	@KeetPotato
:	,	0.7421	:
ha	!	0.9963	ha
=	,	0.7656	=
mildly	R	0.9867	mildly
amusing	A	0.7895	amusing
haha	!	0.9993	haha
=	,	0.7656	=
quite	R	0.8738	quite
funny	A	0.9910	funny
HAHA	!	0.9993	HAHA
=	,	0.7656	=
i	O	0.9651	i
am	V	0.8073	am
actually	R	0.9907	actually
laughing	V	0.9384	laughing
HAJA	!	0.9986	HAJA
=	,	0.7656	=
i	O	0.9651	i
am	V	0.8073	am
doing	V	0.9845	doing
karate	N	0.3357	karate
			
Tove	^	0.3124	Tove
Lo	!	0.3224	Lo
-	,	0.8444	-
stay	V	0.6675	stay
high	!	0.5588	high
BeeQunique	^	0.3111	BeeQunique
UKG	^	0.3241	UKG
remix	N	0.8273	remix
is	V	0.9892	is
awesome	A	0.7052	awesome
https://t.co/csIU98Mk8f	U	0.9943	https://t.co/csIU98Mk8f
			
http://t.co/a8Kn6RPsGk	U	0.9940	http://t.co/a8Kn6RPsGk
retweet	V	0.5104	retweet
this	O	0.5028	this
n	&	0.7343	n
vote	V	0.6316	vote
!	,	0.9924	!
@AalishaAlisha	@	0.9990	@AalishaAlisha
@crzy_PC_FanGirl	@	0.9990	@crzy_PC_FanGirl
@bouauon16rita	@	0.9989	@bouauon16rita
@FanclubPriyanka	@	0.9990	@FanclubPriyanka
@PCFB	@	0.9987	@PCFB
			
Van	^	0.9772	Van
Persie	N	0.8568	Persie
looking	V	0.9528	looking
forward	R	0.6119	forward
to	P	0.9511	to
Van	^	0.9772	Van
Gaal's	!	0.2544	Gaal's
arrival	N	0.8541	arrival
at	P	0.9712	at
Old	A	0.9477	Old
Trafford	N	0.4278	Trafford
http://t.co/RlglE039th	U	0.9940	http://t.co/RlglE039th
#EPL	#	0.8838	#EPL
			
1st	A	0.5809	1st
thang	N	0.9343	thang
1st	A	0.5809	1st
you	O	0.9627	you
gotta	V	0.9603	gotta
#Swagg	#	0.9163	#Swagg
to	P	0.9511	to
be	V	0.9569	be
#SGOD	#	0.8919	#SGOD
CEO	N	0.8725	CEO
@agoffsodmg	@	0.9990	@agoffsodmg
@mayorofdmv	@	0.9990	@mayorofdmv
#REALIST	#	0.8286	#REALIST
#SWAGGER	#	0.8843	#SWAGGER
"	,	0.9803	"
S	G	0.5043	S
#KINGCHUCKSGOD	#	0.9273	#KINGCHUCKSGOD
http://t.co/h4JHZcm9tE	U	0.9940	http://t.co/h4JHZcm9tE
			
RT	~	0.7475	RT
@Win_Stah	@	0.9990	@Win_Stah
:	,	0.7421	:
@mistergome	@	0.9990	@mistergome
cuz	P	0.4479	cuz
eti	^	0.3699	eti
how	R	0.9435	how
would	V	0.9736	would
you	O	0.9627	you
say	V	0.8550	say
you	O	0.9627	you
missed	V	0.9844	missed
someone	N	0.9495	someone
in	P	0.8576	in
Tumbuka	^	0.4241	Tumbuka
"	,	0.9803	"
naku	!	0.6689	naku
zyewa	!	0.4256	zyewa
"	,	0.9803	"
?	,	0.9909	?
(/	E	0.7824	(/
\)	!	0.4441	\)
			
@DanFlynn68	@	0.9989	@DanFlynn68
@washingtonpost	@	0.9990	@washingtonpost
this	O	0.5028	this
@StateDept	@	0.9990	@StateDept
cant	V	0.6921	cant
dare	V	0.8844	dare
put	V	0.7836	put
him	O	0.8980	him
on	P	0.8343	on
trial	N	0.9804	trial
as	P	0.7377	as
these	D	0.6152	these
faggots	N	0.9174	faggots
dont	V	0.9006	dont
ve	!	0.3923	ve
any	D	0.6983	any
evidence	N	0.9029	evidence
against	P	0.9607	against
him	O	0.8980	him
like	P	0.7012	like
OBL	^	0.7854	OBL
n	&	0.7343	n
Dr.	^	0.6380	Dr.
Afia	^	0.9367	Afia
.	,	0.9927	.
			
Fuck	!	0.4899	Fuck
sia	!	0.8451	sia
i	O	0.9651	i
at	P	0.9712	at
home	N	0.8327	home
keep	V	0.7901	keep
practice	N	0.9796	practice
then	R	0.9661	then
look	V	0.8183	look
at	P	0.9712	at
ms	^	0.3935	ms
kelly	^	0.9854	kelly
face	N	0.9357	face
i	O	0.9651	i
jiu	!	0.4639	jiu
cannnot	V	0.4737	cannnot
liao	!	0.7194	liao
sia	!	0.8451	sia
T	G	0.3657	T
T__T	E	0.8613	T__T
T	G	0.3657	T
			
Like	P	0.7411	Like
meat	N	0.9299	meat
said	V	0.9555	said
...	~	0.6291	...
My	D	0.9244	My
main	A	0.4819	main
squad	N	0.9643	squad
is	V	0.9892	is
mixed	A	0.8564	mixed
with	P	0.9671	with
DLineman	!	0.3912	DLineman
,	,	0.9918	,
oline	N	0.6293	oline
men	N	0.9145	men
and	&	0.9981	and
WRs	N	0.8666	WRs
			
Wtf	!	0.9883	Wtf
I	O	0.9937	I
need	V	0.8664	need
a	D	0.8948	a
new	A	0.9552	new
bikini	N	0.9257	bikini
.	,	0.9927	.
Mine	O	0.9364	Mine
broke	A	0.6875	broke
waab	!	0.9949	waab
			
https://t.co/oQoUqhuA5T	U	0.9943	https://t.co/oQoUqhuA5T
vote	V	0.6316	vote
Knoxville	^	0.9967	Knoxville
&	&	0.9901	&
I'll	L	0.9764	I'll
buy	V	0.8020	buy
u	O	0.9843	u
cookies	N	0.9814	cookies
noteven	!	0.3569	noteven
kidding	V	0.9882	kidding
			
Jessica	^	0.9941	Jessica
SNSD	^	0.8796	SNSD
doesnot	V	0.8092	doesnot
like	P	0.7012	like
fruit	N	0.9289	fruit
,	,	0.9918	,
and	&	0.9981	and
her	O	0.5274	her
phobia	N	0.7369	phobia
with	P	0.9671	with
cucumber	N	0.9690	cucumber
			
@JhemiiJam	@	0.9990	@JhemiiJam
dont	V	0.9006	dont
speak	V	0.9077	speak
in	P	0.8576	in
english	N	0.4940	english
i'm	L	0.9890	i'm
panic	N	0.8735	panic
you	O	0.9627	you
know	V	0.9285	know
what	O	0.9490	what
i	O	0.9651	i
mean	V	0.6798	mean
;)	E	0.9900	;)
hahahaha	!	0.9987	hahahaha
			
Wine	N	0.8721	Wine
pon	!	0.2979	pon
it	O	0.9694	it
,	,	0.9918	,
bruk	N	0.5803	bruk
it	O	0.9694	it
off	T	0.4522	off
!	,	0.9924	!
Do	V	0.9772	Do
di	G	0.3684	di
630	$	0.8711	630
,	,	0.9918	,
bend	V	0.6146	bend
yuh	O	0.8803	yuh
back	R	0.5723	back
and	&	0.9981	and
touch	N	0.7541	touch
yuh	O	0.8803	yuh
toe	N	0.9562	toe
.	,	0.9927	.
			
RT	~	0.7475	RT
@InfiniteUpdates	@	0.9990	@InfiniteUpdates
:	,	0.7421	:
[	,	0.9656	[
PREVIEW	N	0.9031	PREVIEW
]	,	0.9650	]
140526	$	0.4723	140526
MBC	^	0.6690	MBC
Idol	N	0.8102	Idol
Futsal	G	0.3273	Futsal
Championship	N	0.6651	Championship
-	,	0.8444	-
Hoya	^	0.7499	Hoya
#1	$	0.4550	#1
by	P	0.9649	by
Hoya	^	0.7499	Hoya
Macaron	^	0.5515	Macaron
http://t.co/kDgn4TAjdd	U	0.9940	http://t.co/kDgn4TAjdd
			
i	O	0.9651	i
never	R	0.9752	never
thought	V	0.9287	thought
that	O	0.7135	that
afgan	!	0.3975	afgan
was	V	0.9773	was
a	D	0.8948	a
youtuber	N	0.5252	youtuber
..	,	0.9687	..
#YoutubeFanFestSG	#	0.9384	#YoutubeFanFestSG
			
RT	~	0.7475	RT
@Bharat_Putra	@	0.9990	@Bharat_Putra
:	,	0.7421	:
Shazia	!	0.2858	Shazia
Ilmi	!	0.2675	Ilmi
has	V	0.9464	has
blown	V	0.6821	blown
the	D	0.9792	the
lid	N	0.9198	lid
over	P	0.6023	over
Inner	A	0.8474	Inner
Party	N	0.8753	Party
Democracy	N	0.9698	Democracy
claim	V	0.4359	claim
of	P	0.8953	of
@ArvindKejriwal	@	0.9990	@ArvindKejriwal
The	D	0.9468	The
Dictator	N	0.9821	Dictator
.	,	0.9927	.
			
I	O	0.9937	I
liked	V	0.9821	liked
a	D	0.8948	a
@YouTube	@	0.9990	@YouTube
video	N	0.9802	video
http://t.co/4o3mMaeT7Y	U	0.9940	http://t.co/4o3mMaeT7Y
French	^	0.6524	French
open	V	0.5185	open
in	P	0.8576	in
the	D	0.9792	the
rain	N	0.9516	rain
with	P	0.9671	with
Novak	^	0.9511	Novak
Djokovic	^	0.6358	Djokovic
			
RT	~	0.7475	RT
@EXOcastle	@	0.9990	@EXOcastle
:	,	0.7421	:
[	,	0.9656	[
PIC	N	0.7139	PIC
]	,	0.9650	]
140529	$	0.4827	140529
SMTOWN	!	0.3376	SMTOWN
Update	N	0.9302	Update
-	,	0.8444	-
Artists	N	0.9664	Artists
who	O	0.9764	who
went	V	0.9059	went
to	P	0.9511	to
EXO	^	0.8573	EXO
Concert	N	0.9847	Concert
(	,	0.9082	(
Suho	^	0.8435	Suho
with	P	0.9671	with
SHINee's	Z	0.3892	SHINee's
Taemin	^	0.6913	Taemin
)	,	0.9412	)
http://t.co/FROpH4nuT4	U	0.9940	http://t.co/FROpH4nuT4
			
Now	R	0.9764	Now
Playing	V	0.9926	Playing
John	^	0.9962	John
P	N	0.2470	P
.	,	0.9927	.
Kee	^	0.8087	Kee
&	&	0.9901	&
New	A	0.9490	New
Life	N	0.9306	Life
-	,	0.8444	-
My	D	0.9244	My
Worship	N	0.8790	Worship
http://t.co/2yIjwcxL2r	U	0.9940	http://t.co/2yIjwcxL2r
			
I	O	0.9937	I
liked	V	0.9821	liked
a	D	0.8948	a
@YouTube	@	0.9990	@YouTube
video	N	0.9802	video
http://t.co/kjWhdgDtTy	U	0.9900	http://t.co/kjWhdgDtTy
Real	A	0.8301	Real
Minecraft	^	0.9143	Minecraft
Herobrine	!	0.3656	Herobrine
Sighting	N	0.9823	Sighting
!	,	0.9924	!
Not	R	0.9761	Not
Fake	A	0.9681	Fake
!	,	0.9924	!
			
RT	~	0.7475	RT
@GatorZoneSBall	@	0.9990	@GatorZoneSBall
:	,	0.7421	:
Walkoff	!	0.2492	Walkoff
grand	A	0.7543	grand
slam	N	0.5319	slam
Chelsea	^	0.8885	Chelsea
Herndon	^	0.9152	Herndon
!	,	0.9924	!
#Gators	#	0.5141	#Gators
defeat	V	0.4013	defeat
Baylor	^	0.9618	Baylor
,	,	0.9918	,
11-0	$	0.9831	11-0
(	,	0.9082	(
5	$	0.9629	5
innings )	N ,	0.9101 0.9738	innings)
!	,	0.9924	!
			
@AustinMahone	@	0.9990	@AustinMahone
omfg	!	0.9968	omfg
imma	L	0.9699	imma
b	V	0.3261	b
there	R	0.4143	there
I	O	0.9937	I
can't	V	0.9853	can't
wait	V	0.9113	wait
			
RT	~	0.7475	RT
@EXOSEOUL	@	0.9975	@EXOSEOUL
:	,	0.7421	:
EXO	^	0.8573	EXO
IS	V	0.9860	IS
PRACTISING	V	0.9936	PRACTISING
FOR	P	0.9900	FOR
CONCERT	N	0.9927	CONCERT
http://t.co/Re8RyaZ2p7	U	0.9940	http://t.co/Re8RyaZ2p7
			
